index_cpd	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	compound_cluster_id	cpd_smiles	master_cpd_id
101	KU 0060648	BRD-K09499853	33	probe	PRKDC	inhibitor of DNA-dependent protein kinase	107;134;284;380;421;438;445;467;475;479	CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c3oc(cc4=O)N3CCOCC3)c3sc4ccccc4c23)CC1	632119
102	BRD-K09587429	BRD-K09587429	66	GE-active		product of diversity oriented synthesis	170;214;357;414;427;446;460;465;474;475;479	C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)c1ccccc1	416842
103	FGIN-1-27	BRD-K09778810	33	probe	TSPO	activator of peripheral benzodiazepine receptor/translocator protein	271;308;382;434;454;470;474;475;479	CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1	61775
104	PRL-3 inhibitor I	BRD-K09907482	130	probe	PTP4A3	inhibitor of phosphatase of regenerating liver-3 (PRL3)	322;345;383;450;471;477	Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1	411727
105	dabrafenib	BRD-K09951645	66	clinical	BRAF	inhibitor of BRAF	106;177;283;420;455;464;469;472;476;478;479	CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F	687954
106	avrainvillamide	BRD-K10466330	33	probe	NPM1	natural product; inhibitor of nucleophosmin	239;280;433;451;454;470;474;475;479	CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1	411856
107	GW-405833	BRD-K10705233	130	probe	CNR2	partial agonist of cannabinoid receptor 2	94;213;287;313;371;430;457;461;467;475;479	COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1	375447
108	B02	BRD-K10882151	130	probe	RAD51	inhibitor of RAD51	113;338;363;462;471;477	O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12	122255
109	SR-II-138A	BRD-K11172604	33	probe	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	5;41;61;105;166;257;315;372;425;447;476;478;479	CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC	411770
110	BRD-K11533227	BRD-K11533227	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	285;392;439;457;461;467;475;479	CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1	389297
111	PF-184	BRD-K11593101	66	probe	IKBKB	inhibitor of IKK-2	129;184;312;404;423;445;467;475;479	C[C@@]1(CO)CN(C[C@]1(C)CO)c1cc(C(=O)Nc2ccc3CCc4c(nn(c4-c3c2)-c2ccc(F)cc2)C(N)=O)c(Cl)cn1	660208
112	CIL56	BRD-K11740178	2.5	probe		screening hit	207;333;426;443;464;469;472;476;478;479	ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1	100490
113	AT7867	BRD-K12040459	66	probe	AKT1;AKT2;AKT3;RPS6KB2	inhibitor of AKT1/2/3 and S6K	211;293;370;380;421;438;445;467;475;479	Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1	660409
114	NVP-BEZ235	BRD-K12184916	17	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	101;200;284;380;421;438;445;467;475;479	Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1	348992
115	trametinib	BRD-K12343256	66	clinical	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	33;348;436;470;474;475;479	CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O	687418
116	TG-101348	BRD-K12502280	37	clinical	JAK2	inhibitor of Janus kinase 2	56;137;198;293;370;380;421;438;445;467;475;479	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C	411808
117	valdecoxib	BRD-K12994359	600	FDA	PTGS2	inhibitor of cyclooxygenase-2 (COX2)	104;188;273;381;418;442;456;466;469;472;476;478;479	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1	32372
118	procarbazine	BRD-K13032584	66	FDA		inducer of DNA damage	335;389;463;473;478;479	CNNCc1ccc(cc1)C(=O)NC(C)C	28183
119	ciclopirox	BRD-K13044802	66	FDA	RRM1	substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase	112;160;325;396;439;457;461;467;475;479	Cc1cc(C2CCCCC2)n(O)c(=O)c1	28784
120	BMS-754807	BRD-K13049116	33	probe	IGF1R	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	53;76;175;351;403;449;461;467;475;479	C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1	417981
121	BMS-345541	BRD-K13566078	66	probe	IKBKB	inhibitor of IKK-2	145;166;257;315;372;425;447;476;478;479	Cc1cnc2c(NCCN)nc3ccc(C)cc3n12	622911
122	dinaciclib	BRD-K13662825	66	clinical	CDK1;CDK2;CDK5;CDK9	inhibitor of cyclin-dependent kinases	11;145;166;257;315;372;425;447;476;478;479	CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N1CCCC[C@H]1CCO	687578
123	BRD-K13999467	BRD-K13999467	67	GE-active		product of diversity oriented synthesis	282;356;432;451;454;470;474;475;479	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F	410270
124	BRD-K14844214	BRD-K14844214	66	GE-active		product of diversity oriented synthesis	88;231;375;428;458;465;474;475;479	CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1	402775
125	R428	BRD-K14870255	66	probe	AXL	inhibitor of the tyrosine-protein kinase receptor UFO	310;371;430;457;461;467;475;479	Nc1nc(Nc2ccc3CC[C@@H](CCc3c2)N2CCCC2)nn1-c1cc2CCCc3ccccc3-c2nn1	660993
126	gemcitabine	BRD-K15108141	33	FDA	CMPK1;RRM1;TYMS	inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase	36;90;116;184;312;404;423;445;467;475;479	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	411863
127	NVP-ADW742	BRD-K15179513	66	probe	IGF1R	inhibitor of insulin-like growth factor 1 receptor	98;175;351;403;449;461;467;475;479	Nc1ncnc2n(cc(-c3cccc(OCc4ccccc4)c3)c12)[C@H]1C[C@H](CN2CCCC2)C1	660287
128	PRIMA-1	BRD-K15318909	170	probe	TP53	re-activator of the pro-apoptotic activity of mutant p53	57;223;304;376;394;437;449;461;467;475;479	OCC1(CO)N2CCC(CC2)C1=O	50131
129	phloretin	BRD-K15563106	590	probe	SLC5A1	natural product; inhibitor of glucose uptake	188;273;381;418;442;456;466;469;472;476;478;479	Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1	24173
130	obatoclax	BRD-K15600710	66	clinical	BCL2;BCL2L1;MCL1	inhibitor of MCL1, BCL2, and BCL-xL	180;325;396;439;457;461;467;475;479	COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1	606142
131	BRD-K16147474	BRD-K16147474	66	GE-active		product of diversity oriented synthesis	233;382;434;454;470;474;475;479	CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@H](C)CO)C(=O)Cc2c1	447732
132	CHIR-99021	BRD-K16189898	80	probe	GSK3B	inhibitor of GSK3 beta	150;365;397;443;464;469;472;476;478;479	Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	347812
133	PLX-4720	BRD-K16478699	33	probe	BRAF	inhibitor of BRAF	106;177;283;420;455;464;469;472;476;478;479	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F	606256
134	regorafenib	BRD-K16730910	66	FDA	BRAF;KDR;KIT;RET	inhibitor of BRAF, RET, KIT, and VEGFR2	67;194;216;296;350;386;409;450;471;477	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	628613
135	sotrastaurin	BRD-K16761703	66	clinical	PRKCB	inhibitor of protein kinase C beta	261;362;396;439;457;461;467;475;479	CN1CCN(CC1)c1nc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc2n1	661032
136	BRD-K17060750	BRD-K17060750	67	GE-active		product of diversity oriented synthesis	108;133;195;271;308;382;434;454;470;474;475;479	CN(C)CC(=O)N[C@@H]1CC[C@@H](CCNC(=O)Nc2ccc(F)cc2)O[C@H]1CO	600054
137	bendamustine	BRD-K17068645	66	FDA		DNA alkylator	268;326;363;462;471;477	Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl	374755
138	SCH-79797	BRD-K17140735	37	probe	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	201;422;447;476;478;479	CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1	375264
139	HLI 373	BRD-K17349619	33	probe	MDM2	inhibitor of MDM2	165;252;328;374;403;449;461;467;475;479	CN(C)CCCNc1c2ccccc2n(C)c2nc(=O)n(C)c(=O)c12	481311
140	indisulam	BRD-K17610631	33	clinical	CA9	inhibitor of carbonic anhydrase isoform IX	154;240;312;404;423;445;467;475;479	NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12	411874
141	belinostat	BRD-K17743125	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	71;155;238;297;392;439;457;461;467;475;479	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1	60225
142	staurosporine	BRD-K17953061	3.3	probe		inhibitor of multiple kinases	365;397;443;464;469;472;476;478;479	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	50769
143	birinapant	BRD-K18589165	66	clinical	DIABLO;XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	173;311;432;451;454;470;474;475;479	CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1cc2c(C[C@@H]3C[C@H](O)CN3C(=O)[C@H](CC)NC(=O)[C@H](C)NC)cc(F)cc2[nH]1	660778
144	MK-0752	BRD-K18850819	66	clinical	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	254;419;452;462;471;477	OC(=O)CC[C@H]1CC[C@@](CC1)(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1	660332
145	BRD-K19103580	BRD-K19103580	66	GE-active		product of diversity oriented synthesis	89;214;357;414;427;446;460;465;474;475;479	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc2ccc(cc2C1=O)N(C)C	436211
146	gossypol	BRD-K19295594	37	clinical	BCL2;BCL2L1;LDHA;LDHB;LDHC	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	158;237;327;391;418;442;456;466;469;472;476;478;479	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	25036
147	prochlorperazine	BRD-K19352500	66	FDA	DRD2	inhibitor of dopamine receptor D2	124;197;313;371;430;457;461;467;475;479	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1	33166
148	sitagliptin	BRD-K19416115	66	FDA	DPP4	inhibitor of dipetidyl peptidase-4	307;412;434;454;470;474;475;479	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F	58442
149	SGX-523	BRD-K19477839	66	clinical	MET	inhibitor of MET	307;412;434;454;470;474;475;479	Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1	635882
150	saracatinib	BRD-K19540840	66	clinical	ABL1;SRC	inhibitor of SRC and ABL1	34;169;355;431;460;465;474;475;479	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c5OCOc5ccc4Cl)ncnc3c2)CC1	606035
151	lapatinib	BRD-K19687926	66	FDA	EGFR;ERBB2	inhibitor of EGFR and HER2	21;47;59;79;102;168;202;355;431;460;465;474;475;479	CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1	634309
152	erismodegib	BRD-K19796430	33	probe		screening hit	259;265;405;448;468;477	C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1	636425
153	MST-312	BRD-K19894101	33	probe	TERT	inhibitor of telomerase reverse transcriptase	122;237;327;391;418;442;456;466;469;472;476;478;479	Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O	411865
154	CIL70	BRD-K20215950	40	probe		screening hit	279;333;426;443;464;469;472;476;478;479	Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1	183526
155	tamatinib	BRD-K20285085	33	clinical	SYK	inhibitor of spleen tyrosine kinase	176;292;301;347;421;438;445;467;475;479	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	417818
156	SKI-II	BRD-K20755323	130	probe	SPHK1	inhibitor of sphingosine kinase 1	277;406;456;466;469;472;476;478;479	Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1	375366
157	KW-2449	BRD-K21718444	66	clinical	AURKA;FLT3	inhibitor of FLT3 and AURKA	82;118;221;347;421;438;445;467;475;479	O=C(N1CCNCC1)c1ccc(cc1)\C=C\c1n[nH]c2ccccc12	660413
158	RO4929097	BRD-K22024824	66	clinical	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	348;436;470;474;475;479	CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1c2ccccc2-c2ccccc2NC1=O	687577
159	simvastatin	BRD-K22134346	33	FDA	HMGCR	inhibitor of HMG-CoA reductase	37;172;397;443;464;469;472;476;478;479	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12	27894
160	STF-31	BRD-K22477529	66	probe	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	16;43;217;385;422;447;476;478;479	CC(C)(C)c1ccc(cc1)S(=O)(=O)NCc1ccc(cc1)C(=O)Nc1cccnc1	652975
161	BRD8899	BRD-K22828899	33	probe	STK33	inhibitor of serine/threonine kinasase STK33	329;359;452;462;471;477	CC(=O)NC[C@@H]1C[C@H](CN1)NS(=O)(=O)c1cccc2cncc(C)c12	608062
162	CR-1-31B	BRD-K23547378	33	probe	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	5;41;61;105;166;257;315;372;425;447;476;478;479	CONC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC	418209
163	1S,3R-RSL-3	BRD-K23853216	33	probe	GPX4	synthetic lethal with HRAS in engineered cells; inhibitor of GPX4	2;6;117;207;333;426;443;464;469;472;476;478;479	COC(=O)[C@H]1Cc2c([nH]c3ccccc23)[C@@H](N1C(=O)CCl)c1ccc(cc1)C(=O)OC	609060
164	sorafenib	BRD-K23984367	66	FDA	BRAF;FLT3;KDR;RAF1	inhibitor of BRAF, CRAF, and VEGFR2	67;194;216;296;350;386;409;450;471;477	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	349006
165	piperlongumine	BRD-K24132293	33	probe		natural product; modulator of ROS levels	70;120;159;215;304;376;394;437;449;461;467;475;479	COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O	39782
166	SCH-529074	BRD-K24376488	33	probe	TP53	activator of mutant p53	111;287;313;371;430;457;461;467;475;479	CN(C)CCCNc1nc(CN2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)nc2ccccc12	609062
167	ETP-46464	BRD-K24556407	66	probe	ATM;ATR	inhibitor of serine/threonine-protein kinase ATR	246;299;344;410;438;445;467;475;479	CC(C)(C#N)c1ccc(cc1)N1C(=O)OCc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1	666716
168	BRD-K24690302	BRD-K24690302	66	probe	HDAC1	inhibitor of HDAC1	136;250;359;452;462;471;477	CN(C)CC1CN(C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1	641721
169	FSC231	BRD-K24784241	270	probe	PICK1	inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)	264;319;435;459;473;478;479	CCOC(=O)NC(=O)C(=C\c1ccc(Cl)c(Cl)c1)\C#N	660079
170	fluorouracil	BRD-K24844714	130	FDA	TYMS	pyrimidine analog; inhibitor of thymidylate synthase	196;276;385;422;447;476;478;479	Fc1c[nH]c(=O)[nH]c1=O	25344
171	KU-55933	BRD-K25311561	66	probe	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	77;263;407;430;457;461;467;475;479	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	58339
172	OSI-930	BRD-K25340465	66	clinical	KDR;KIT	inhibitor of c-KIT and VEGFR2	255;360;423;445;467;475;479	FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1	628620
173	CD-1530	BRD-K25737009	130	probe	RARG	agonist of retinoic acid receptor gamma	100;190;228;345;383;450;471;477	OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2	375562
174	austocystin D	BRD-K25987073	37	probe		natural product; inducer of DNA damage	330;351;403;449;461;467;475;479	CC(C)(O)CCc1ccc(O)c2c1oc1cc3O[C@H]4OC=C[C@@]4(O)c3c(O)c1c2=O	416775
175	BRD-K26531177	BRD-K26531177	330	probe		analog of the natural product piperlongumine	187;215;304;376;394;437;449;461;467;475;479	COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC	42319
176	PD 153035	BRD-K26603252	33	probe	EGFR	inhibitor of EGFR	86;103;202;355;431;460;465;474;475;479	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	52133
177	cytochalasin B	BRD-K26664453	33	probe		inhibitor of actin polymerization	211;293;370;380;421;438;445;467;475;479	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C	50163
178	BIX-01294	BRD-K26818574	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	69;164;310;371;430;457;461;467;475;479	COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1	53705
179	BRD-K27224038	BRD-K27224038	66	GE-active		product of diversity oriented synthesis	95;109;191;321;354;435;459;473;478;479	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1	397964
180	leptomycin B	BRD-K27624156	66	probe	XPO1	inhibitor of exportin 1	61;105;166;257;315;372;425;447;476;478;479	CCC(\C=C\[C@@H]1OC(=O)C=C[C@@H]1C)=C\[C@H](C)C\C=C\C(C)=C\[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C\C(C)=C\C(O)=O	660086
181	lomeguatrib	BRD-K27955832	66	clinical	MGMT	inhibitor of methylguanine-DNA methyltransferase	178;373;433;451;454;470;474;475;479	Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1	660207
182	BRD-K27986637	BRD-K27986637	66	probe		product of diversity oriented synthesis; screening hit	270;357;414;427;446;460;465;474;475;479	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCCOc3c2)OCc2cn(CCCC1=O)nn2	452570
183	TW-37	BRD-K28360340	33	probe	BCL2;BCL2L1	inhibitor of BCL2 and BCL-xL	122;237;327;391;418;442;456;466;469;472;476;478;479	CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccccc2C(C)(C)C)c(O)c(O)c1O	609596
184	AZD4547	BRD-K28392481	66	clinical	FGFR1;FGFR2;FGFR3	inhibitor of fibroblast growth factor receptors	82;118;221;347;421;438;445;467;475;479	COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1	660325
185	brivanib	BRD-K28428262	66	clinical	FLT1;KDR	inhibitor of VEGFR 1/2	275;361;384;429;468;477	C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C	606246
186	BRD-K28456706	BRD-K28456706	66	probe	HNF4A	inhibitor of hepatocyte nuclear factor 4 alpha	269;376;394;437;449;461;467;475;479	Cc1c(oc2ccc3ccccc3c12)[N+]([O-])=O	651642
187	CD-437	BRD-K28907958	37	probe	RARG	agonist of retinoic acid receptor gamma	15;90;116;184;312;404;423;445;467;475;479	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2	375256
188	BRD-K29086754	BRD-K29086754	66	GE-active		product of diversity oriented synthesis	334;414;427;446;460;465;474;475;479	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2CC1=O	448891
189	BRD-K29313308	BRD-K29313308	66	probe	HDAC3	inhibitor of HDAC3	115;324;402;453;466;469;472;476;478;479	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccc(F)cc1N	634814
190	PIK-93	BRD-K29395450	66	probe	PIK3CG	inhibitor of PI3K catalytic subunit gamma	134;284;380;421;438;445;467;475;479	CC(=O)Nc1nc(C)c(s1)-c1ccc(Cl)c(c1)S(=O)(=O)NCCO	660774
191	chlorambucil	BRD-K29458283	270	FDA		DNA alkylator	73;129;184;312;404;423;445;467;475;479	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl	25334
192	NSC30930	BRD-K29711668	66	probe	SRD5A2	inhibitor of steroid 5-alpha reductase	235;387;412;434;454;470;474;475;479	OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1	182395
193	axitinib	BRD-K29905972	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	44;91;181;221;347;421;438;445;467;475;479	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1	348990
194	KX2-391	BRD-K29968218	66	clinical	SRC	peptide mimetic; inhibitor of SRC activity in cells	9;10;19;39;50;75;85;199;227;336;358;372;425;447;476;478;479	O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1	660779
195	BRD-K30019337	BRD-K30019337	66	GE-active		product of diversity oriented synthesis	119;191;321;354;435;459;473;478;479	CC(C)NC(=O)N(C)C[C@H]1Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)N(C)C	437263
196	Compound 1541A	BRD-K30064966	37	probe	CASP3;CASP6;CASP7	activators of executioner procaspases 3, 6, and 7	205;354;435;459;473;478;479	Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12	411827
197	BRD-K30748066	BRD-K30748066	66	probe	CDK9	inhibitor of CDK9	401;425;447;476;478;479	Cc1c(sc(=O)n1C)-c1ccnc(Nc2ccc(cc2)N2CCNCC2)n1	689506
198	VU0155056	BRD-K31406481	66	probe	PLD1;PLD2	inhibitor of phospholipase D1/D2	138;186;288;395;411;446;460;465;474;475;479	O=C(NCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc2ccccc2c1	660119
199	ceranib-2	BRD-K31514534	66	probe	ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B	inhibitor of ceramidase activity	29;31;60;75;85;199;227;336;358;372;425;447;476;478;479	COc1ccc(\C=C\C(=O)c2c(-c3ccccc3)c3ccccc3[nH]c2=O)cc1	660078
200	VER-155008	BRD-K32330832	37	probe	HSPA1A;HSPA1B;HSPA1L	inhibitor of HSP70	143;288;395;411;446;460;465;474;475;479	Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12	411815
201	AGK-2	BRD-K32536677	33	probe	SIRT2	inhibitor of sirtuin 2	219;334;414;427;446;460;465;474;475;479	Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1	411716
202	cytarabine hydrochloride	BRD-K33106058	66	FDA		inducer of DNA damage	25;116;184;312;404;423;445;467;475;479	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	62690
203	BRD-K33199242	BRD-K33199242	67	GE-active		product of diversity oriented synthesis	219;334;414;427;446;460;465;474;475;479	CNC[C@@H]1Oc2ccc(cc2CC(=O)N(C[C@@H]1C)[C@@H](C)CO)N(C)C	449707
204	tivantinib	BRD-K33379087	66	clinical	MET	inhibitor of MET; inhibitor of microtubule assembly	58;87;96;140;199;227;336;358;372;425;447;476;478;479	O=C1NC(=O)[C@H]([C@@H]1c1c[nH]c2ccccc12)c1cn2CCCc3cccc1c23	687406
205	BRD-K33514849	BRD-K33514849	34	probe		screening hit	375;428;458;465;474;475;479	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1	401251
206	isoliquiritigenin	BRD-K33583600	33	probe		natural product	393;416;455;464;469;472;476;478;479	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O	25393
207	clofarabine	BRD-K34022604	66	FDA		inducer of DNA damage	25;116;184;312;404;423;445;467;475;479	Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F	660288
208	BRD-K34099515	BRD-K34099515	66	probe		screening hit	405;448;468;477	CC(C)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O	660064
209	cimetidine	BRD-K34157611	270	FDA	HRH2	inhibitor of histidine receptor H2	364;406;456;466;469;472;476;478;479	CN\C(NCCSCc1nc[nH]c1C)=N/C#N	26870
